Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Arabidopsis_arenosa_subsp._arenosa,Arabidopsis arenosa subsp. arenosa,Arabidopsis_arenosa_subsp._arenosa,Brassicaceae,NA,1,0,0,1,0,0,0,0,0,1,,,0,Chardin 2013, (reference for A. thaliana) - extended for the genus
Arenaria_serpyllifolia,Arenaria serpyllifolia,Arenaria_serpyllifolia,Caryophyllaceae,NA,32,0,0,0,0,0,0,0,0,0,,,0,,
Armeria_maritima_subsp._elongata,Armeria maritima subsp. elongata,Armeria_vulgaris,Celastraceae,NA,7,0,0,0,0,0,0,0,0,0,,,0,,
Berteroa_incana,Berteroa incana,Berteroa_incana,Brassicaceae,NA,35,0,0,0,0,0,0,0,0,0,,,0,,
Campanula_rapunculus,Campanula rapunculus,Campanula_patula_var._rapunculus,Campanulaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Capsella_bursa.pastoris,Capsella bursa-pastoris,Capsella_bursa-pastoris,Brassicaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Cardamine_hirsuta,Cardamine hirsuta,Cardamine_hirsuta,Brassicaceae,NA,4,0,0,0,0,0,0,0,0,0,,,0,,
Centaurea_jacea,Centaurea jacea,Centaurea_jacea,Asteraceae,Carduoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Centaurea_stoebe,Centaurea stoebe,Centaurea_stoebe,Asteraceae,Carduoideae,20,0,0,0,0,0,0,0,0,0,,,0,,
Cerastium_arvense,Cerastium arvense,Cerastium_arvense,Caryophyllaceae,NA,6,0,0,0,0,0,0,0,0,0,,,0,,
Cerastium_glomeratum,Cerastium glomeratum,Cerastium_glomeratum,Caryophyllaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Cerastium_glutinosum,Cerastium glutinosum,Cerastium_kunthii,Caryophyllaceae,NA,6,0,0,0,0,0,0,0,0,0,,,0,,
Cerastium_holosteoides,Cerastium holosteoides,Cerastium_fontanum_subsp._vulgare,Caryophyllaceae,NA,14,0,0,0,0,0,0,0,0,0,,,0,,
Cerastium_semidecandrum,Cerastium semidecandrum,Cerastium_semidecandrum,Caryophyllaceae,NA,50,0,0,0,0,0,0,0,0,0,,,0,,
Chondrilla_juncea,Chondrilla juncea,Chondrilla_juncea,Asteraceae,Cichorioideae,15,0,0,0,0,0,0,0,0,0,,,0,,
Cirsium_arvense,Cirsium arvense,Cirsium_arvense,Asteraceae,Carduoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Cirsium_vulgare,Cirsium vulgare,Cirsium_vulgare,Asteraceae,Carduoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Crepis_capillaris,Crepis capillaris,Crepis_capillaris,Asteraceae,Cichorioideae,10,0,0,0,0,0,0,0,0,0,,,0,,
Cynoglossum_officinale,Cynoglossum officinale,Cynoglossum_officinale,Boraginaceae,Cynoglossoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Dianthus_carthusianorum,Dianthus carthusianorum,Dianthus_carthusianorum,Caryophyllaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,Some allergenicity perhaps but not of the pollen (cf. Allergome)
Dianthus_deltoides,Dianthus deltoides,Dianthus_deltoides,Caryophyllaceae,NA,9,0,0,0,0,0,0,0,0,0,,,0,,Some allergenicity perhaps but not of the pollen (cf. Allergome)
Dianthus_giganteus,Dianthus giganteus,Dianthus_giganteus,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,Some allergenicity perhaps but not of the pollen (cf. Allergome)
Dipsacus_fullonum,Dipsacus fullonum,Dipsacus_fullonum,Caprifoliaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Draba_verna,Draba verna,Draba_verna,Brassicaceae,NA,25,0,0,0,0,0,0,0,0,0,,,0,,
Equisetum_arvense,Equisetum arvense,Equisetum_arvense,Equisetaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,No allergy has been reported for Field Horsetail: http://www.pollenlibrary.com/Specie/Equisetum+arvense/
Equisetum_x_moorei,Equisetum x moorei,Equisetum,Equisetaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,no evidence of allergy for horsetail
Erigeron_acris,Erigeron acris,Erigeron_acris,Asteraceae,Asteroideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Erigeron_annuus,Erigeron annuus,Erigeron_annuus,Asteraceae,Asteroideae,3,0,0,0,0,0,0,0,0,0,,,0,,
Erodium_cicutarium,Erodium cicutarium,Erodium_cicutarium,Geraniaceae,NA,12,0,0,0,0,0,0,0,0,0,,,0,,
Euonymus_europaea,Euonymus europaea,Euonymus_europaea,Celastraceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Euphorbia_cyparissias,Euphorbia cyparissias,Euphorbia_cyparissias,Euphorbiaceae,Euphorbioideae,18,0,0,0,0,0,0,0,0,0,,,0,,contact dermatitis with the latex. No allergies to pollen reported.
Ficaria_verna,Ficaria verna,Ficaria_verna,Ranunculaceae,Ranunculoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Filago_arvensis,Filago arvensis,Filago_arvensis,Asteraceae,Asteroideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Gagea_pratensis,Gagea pratensis,Stellaster_pratensis,Caryophyllaceae,NA,2,0,0,0,0,0,0,0,0,0,,,0,,
Galium_aparine,Galium aparine,Galium_aparine,Rubiaceae,Rubioideae,3,0,0,0,0,0,0,0,0,0,,,0,,
Galium_boreale,Galium boreale,Galium_boreale,Rubiaceae,Rubioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Galium_mollugo,Galium mollugo,Galium_mollugo,Rubiaceae,Rubioideae,3,0,0,0,0,0,0,0,0,0,,,0,,
