Species_name;clonal_adventitious_buds_on_roots;clonal_bulbs;clonal_epigeogeneous_stems;clonal_hypogeogeneous_stems;clonal_plant_fragments_of_stem_origin;clonal_plantlets_(pseudovivipary);clonal_rooting_horizontal_stems;clonal_root-splitters;clonal_spacers_above_and_renewal_buds_below_soil_surface;clonal_stem_tubers;clonal_buds_on_leaves_(gemmipary);reprod_type;LifeF_macrophanero;LifeF_nanophanero;LifeF_hemicrypto;LifeF_geophyte;LifeF_chamae;LifeF_hemiphanero;LifeF_pseudo;LifeF_thero;flower_class;legume;flower_brown;flower_yellow;flower_green;flower_red;flower_white;flower_pink;flower_purple;flower_violet;flower_blue;DispersalUnitLength_mean;LeafArea_mean;LeafNitrogenContent_mean;PlantHeight_mean;PlantMycorrhizalInfection_mean;SeedDryMass_mean;SLA_mean
Hieracium_bauhini;0;0;0;1;0;0;1;0;0;0;0;sv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;1.96;;;;;;
Hieracium_pilosella;0;0;1;1;0;0;1;0;0;0;0;sv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;3.48875;594.6303882;18.34139474;0.118296774;70;0.201065217;9.617144217
Hieracium_umbellatum;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;5.601;1499.12;23.21493925;0.545454545;70;0.449038095;21.4668396
Holcus_lanatus;0;0;1;0;0;0;1;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;0;1;0;0;0;0;0;0;3.025;549.7765924;21.99028541;0.458412538;70;0.342077858;26.74637491
Holcus_mollis;0;0;1;1;1;0;0;0;0;0;0;vvs;0;0;1;1;0;0;0;0;W;0;0;0;1;0;0;0;0;0;0;3.032857143;655.8387727;27.10690272;0.600285714;70;0.342571429;37.29238761
Holosteum_umbellatum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.598;35.765;;0.114;;0.126666667;35.26333333
Hypericum_perforatum;1;0;0;0;0;0;1;1;0;0;0;sv;0;0;1;0;0;0;0;0;Po;0;0;1;0;0;0;0;0;0;0;1.10625;359.3005393;23.81397564;0.548183099;30;0.143069565;26.5109028
Hypochaeris_radicata;0;0;0;1;0;0;0;0;0;0;0;ssv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;11.13333333;1283.701625;;0.079490079;70;0.792285714;25.06312422
Jasione_montana;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;0;0;0;0;1;0.67;42.917954;27.3970725;0.209955981;30;0.038270221;24.88963296
Koeleria_macrantha;0;0;1;1;0;1;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;4.378333333;337.7967343;15.18152354;0.254607692;70;0.267061314;12.97834193
